,Unnamed: 0,Unnamed: 0.1,REGISTO,listing_url,first_review,LATITUDE,LONGITUDE,bigOwner
0,0,3319,6995.0,https://www.airbnb.com/rooms/91439,2011-04-23,41.1490489,-8.6090455,False
1,1,4456,85541.0,https://www.airbnb.com/rooms/94701,2011-10-05,41.14676770000001,-8.6018679,True
2,2,2775,6184.0,https://www.airbnb.com/rooms/131994,2011-06-29,41.150616,-8.614030999999999,True
3,3,1988,5380.0,https://www.airbnb.com/rooms/113586,2011-05-07,41.1452598,-8.6137314,False
4,4,1488,4833.0,https://www.airbnb.com/rooms/139425,2011-06-07,41.14626679999999,-8.5943918,False
5,5,17,11205.0,https://www.airbnb.com/rooms/104045,2011-07-25,41.1593358,-8.5998421,True
6,6,3305,6981.0,https://www.airbnb.com/rooms/186655,2011-08-30,41.1512743,-8.6518132,False
7,7,1843,52314.0,https://www.airbnb.com/rooms/186946,2011-09-21,41.1417864,-8.6167111,False
8,8,772,34971.0,https://www.airbnb.com/rooms/127208,2011-10-29,41.1546032,-8.589862,False
9,9,1751,509067786.0,https://www.airbnb.com/rooms/76436,2011-11-14,,,True
10,10,2056,5458.0,https://www.airbnb.com/rooms/169321,2011-11-20,41.1453551,-8.5979147,False
11,11,3485,7235.0,https://www.airbnb.com/rooms/241742,2012-02-01,41.1474665,-8.6010849,True
12,12,2013,5400.0,https://www.airbnb.com/rooms/248537,2012-04-01,41.1482154,-8.6198097,True
13,13,3366,7042.0,https://www.airbnb.com/rooms/241743,2012-04-01,41.1474665,-8.6010849,True
14,14,2086,5488.0,https://www.airbnb.com/rooms/264087,2012-01-30,41.1496999,-8.615869199999999,True
15,15,2786,6201.0,https://www.airbnb.com/rooms/327891,2012-03-13,41.1411385,-8.6141185,True
16,16,1086,41004.0,https://www.airbnb.com/rooms/341213,2012-04-04,41.1411385,-8.6141185,True
17,17,3569,7342.0,https://www.airbnb.com/rooms/387383,2012-08-04,41.1399589,-8.6094485,False
18,18,283,22602.0,https://www.airbnb.com/rooms/318163,2012-09-04,41.1622196,-8.6113127,True
19,19,1253,44422.0,https://www.airbnb.com/rooms/447188,2012-11-05,41.14619620000001,-8.609637800000002,True
20,20,2871,634.0,https://www.airbnb.com/rooms/87873,2012-05-14,41.1568997,-8.6047207,True
21,21,2556,5929.0,https://www.airbnb.com/rooms/317546,2012-05-18,41.1426573,-8.6173367,True
22,22,3714,75534.0,https://www.airbnb.com/rooms/457924,2012-05-22,41.155255,-8.608858999999999,True
23,23,2671,60563.0,https://www.airbnb.com/rooms/270094,2012-12-06,41.16051029999999,-8.636144400000001,False
24,24,3571,7349.0,https://www.airbnb.com/rooms/270965,2012-12-06,41.15975020000001,-8.6100312,False
25,25,3184,6766.0,https://www.airbnb.com/rooms/273345,2012-06-13,41.14593729999999,-8.602497099999999,True
26,26,3616,7437.0,https://www.airbnb.com/rooms/518534,2012-06-20,41.140218,-8.614984199999999,True
27,27,2108,55201.0,https://www.airbnb.com/rooms/450872,2012-06-28,,,True
28,28,2433,5773.0,https://www.airbnb.com/rooms/191005,2012-12-07,41.1532855,-8.60723,True
29,29,3289,6946.0,https://www.airbnb.com/rooms/393987,2012-07-16,41.1428196,-8.6049155,True
30,30,2092,55003.0,https://www.airbnb.com/rooms/565255,2012-07-19,41.1549828,-8.6052895,True
31,31,217,20531.0,https://www.airbnb.com/rooms/579745,2012-07-29,41.1592978,-8.6835156,True
32,32,1438,47019.0,https://www.airbnb.com/rooms/608281,2012-03-08,41.1537075,-8.6073962,False
33,33,535,30100.0,https://www.airbnb.com/rooms/581356,2012-03-08,41.1435796,-8.618002699999998,True
34,34,1896,52876.0,https://www.airbnb.com/rooms/581402,2012-07-08,41.14872,-8.60398,True
35,35,557,30401.0,https://www.airbnb.com/rooms/383641,2012-08-08,41.1545782,-8.6144998,True
36,36,2790,62036.0,https://www.airbnb.com/rooms/601916,2012-08-15,41.1476195,-8.6152959,True
37,37,2822,62657.0,https://www.airbnb.com/rooms/628606,2012-08-16,41.155084,-8.607781300000001,True
38,38,2788,62034.0,https://www.airbnb.com/rooms/618008,2012-08-18,41.1482238,-8.6151744,True
39,39,1251,44408.0,https://www.airbnb.com/rooms/620628,2012-08-26,41.1546506,-8.615438099999999,True
40,40,3530,7293.0,https://www.airbnb.com/rooms/627273,2012-08-30,41.1401437,-8.616064199999999,False
41,41,150,17873.0,https://www.airbnb.com/rooms/648700,2012-01-09,41.1422941,-8.615893,False
42,42,1623,49685.0,https://www.airbnb.com/rooms/510404,2012-02-09,,,True
43,43,2794,6209.0,https://www.airbnb.com/rooms/587499,2012-03-09,41.1496999,-8.615869199999999,False
44,44,726,34224.0,https://www.airbnb.com/rooms/604702,2012-06-09,41.1544469,-8.6256788,False
45,45,3249,6851.0,https://www.airbnb.com/rooms/628004,2012-09-14,41.1401437,-8.616064199999999,True
46,46,3437,7155.0,https://www.airbnb.com/rooms/681306,2012-09-17,41.1434548,-8.6168679,True
47,47,82,14929.0,https://www.airbnb.com/rooms/691479,2012-09-26,41.1402391,-8.6154171,True
48,48,160,18642.0,https://www.airbnb.com/rooms/582405,2012-09-29,41.1573119,-8.6009195,True
49,49,4557,87195.0,https://www.airbnb.com/rooms/711159,2012-10-14,41.1452356,-8.612017,True
50,50,458,28177.0,https://www.airbnb.com/rooms/738602,2012-10-27,41.14569,-8.61277,False
51,51,3614,74342.0,https://www.airbnb.com/rooms/727402,2012-02-11,41.1450799,-8.6118349,True
52,52,2997,6482.0,https://www.airbnb.com/rooms/696324,2012-11-17,41.1429515,-8.6137181,False
53,53,185,19288.0,https://www.airbnb.com/rooms/759702,2012-11-12,41.1470976,-8.6170259,True
54,54,241,21027.0,https://www.airbnb.com/rooms/710729,2012-12-30,41.140218,-8.614984199999999,True
55,55,3308,6985.0,https://www.airbnb.com/rooms/736472,2013-01-01,41.1558303,-8.623864999999999,False
56,56,4729,9049.0,https://www.airbnb.com/rooms/786791,2013-02-01,41.1570611,-8.612318400000001,True
57,57,184,19269.0,https://www.airbnb.com/rooms/758709,2013-02-01,41.1470976,-8.6170259,True
58,58,388,26029.0,https://www.airbnb.com/rooms/940770,2013-10-04,41.14522,-8.614268,True
59,59,94,15720.0,https://www.airbnb.com/rooms/863923,2013-10-04,41.17051179999999,-8.664165400000002,True
60,60,1577,4925.0,https://www.airbnb.com/rooms/1083736,2013-04-28,41.1429945,-8.6167877,True
61,61,365,25061.0,https://www.airbnb.com/rooms/927972,2013-04-30,41.1422623,-8.6142367,True
62,62,1569,4916.0,https://www.airbnb.com/rooms/1072112,2013-05-05,41.1429945,-8.6167877,True
63,63,4556,87194.0,https://www.airbnb.com/rooms/1140721,2013-05-13,41.14523270000001,-8.611495199999998,True
64,64,4860,92876.0,https://www.airbnb.com/rooms/1000044,2013-05-19,41.1404679,-8.614225300000001,True
