,REGISTO,listing_url,price,LATITUDE,LONGITUDE
1566,4910,https://www.airbnb.com/rooms/1288357,$30.00,41.1429945,-8.6167877
2971,6467,https://www.airbnb.com/rooms/1207275,$100.00,41.1429515,-8.6137181
2979,6468,https://www.airbnb.com/rooms/1289907,$60.00,41.1429515,-8.6137181
1087,41005,https://www.airbnb.com/rooms/1145954,$150.00,41.141138500000004,-8.6141185
2994,6478,https://www.airbnb.com/rooms/1293257,$55.00,41.1429515,-8.6137181
3013,6504,https://www.airbnb.com/rooms/1185985,$80.00,41.1474598,-8.630211899999999
2963,6462,https://www.airbnb.com/rooms/1306861,$55.00,41.1429515,-8.6137181
2319,5639,https://www.airbnb.com/rooms/1264015,$40.00,41.1452233,-8.5982247
2993,6475,https://www.airbnb.com/rooms/1306890,$60.00,41.1429515,-8.6137181
2992,6474,https://www.airbnb.com/rooms/1302618,$55.00,41.1429515,-8.6137181
2307,5630,https://www.airbnb.com/rooms/1298881,$63.00,41.1408665,-8.6166541
119,16769,https://www.airbnb.com/rooms/1284759,$53.00,41.1486787,-8.6158956
2954,6452,https://www.airbnb.com/rooms/1476656,$89.00,41.1444532,-8.6175248
1924,5317,https://www.airbnb.com/rooms/1432272,$155.00,41.1502805,-8.6069558
2296,5620,https://www.airbnb.com/rooms/1363589,$63.00,,
683,33416,https://www.airbnb.com/rooms/879013,$40.00,41.1725622,-8.639853800000001
1426,46830,https://www.airbnb.com/rooms/1492432,$39.00,41.147490999999995,-8.612812400000001
188,19337,https://www.airbnb.com/rooms/1430405,$60.00,41.1470976,-8.6170259
2228,5524,https://www.airbnb.com/rooms/1366674,$49.00,41.154551899999994,-8.609945800000002
1553,48872,https://www.airbnb.com/rooms/1643533,$55.00,41.149776200000005,-8.6074716
1962,53616,https://www.airbnb.com/rooms/1680589,$53.00,41.1529658,-8.668124800000001
1026,39681,https://www.airbnb.com/rooms/313541,$270.00,41.15265280000001,-8.621675399999999
2232,5527,https://www.airbnb.com/rooms/1391455,$49.00,41.154551899999994,-8.609945800000002
1472,4826,https://www.airbnb.com/rooms/1657483,$52.00,41.14626679999999,-8.594391800000002
1358,45802,https://www.airbnb.com/rooms/1728818,$40.00,41.1347796,-8.633046499999999
497,29424,https://www.airbnb.com/rooms/1600427,$52.00,41.1464894,-8.597432199999998
3983,79253,https://www.airbnb.com/rooms/1505852,$79.00,41.161576700000005,-8.6289135
2376,57222,https://www.airbnb.com/rooms/1830830,$40.00,,
