,listing_id,date,latitude,longitude,neighbourhood_group
0,91439,2011-04-23,41.14832981499517,-8.609827865299872,PORTO
1,86388,2011-04-26,41.148473150783296,-8.608120643309018,PORTO
2,94701,2011-05-10,41.14707443803104,-8.601090394954221,PORTO
3,139416,2011-06-23,41.15099185791915,-8.669590230932236,PORTO
4,131994,2011-06-29,41.14993433181119,-8.615099235365184,PORTO
5,100661,2011-07-04,41.148511901965904,-8.609883307800294,PORTO
6,113586,2011-07-05,41.14602483838996,-8.614465890340888,PORTO
7,139425,2011-07-06,41.145805909122885,-8.594988045468465,PORTO
8,133099,2011-07-12,41.15004645422168,-8.612878542101484,PORTO
9,104045,2011-07-25,41.158765884203255,-8.59892512770989,PORTO
10,186655,2011-08-30,41.15205888031594,-8.652282417605706,PORTO
11,186946,2011-09-21,41.13968938973311,-8.616246658498731,PORTO
12,211588,2011-10-04,41.162410213533654,-8.627185965830426,PORTO
13,127208,2011-10-29,41.15409619576326,-8.590969000762174,PORTO
14,206868,2011-11-02,41.16354227528584,-8.626766227597557,PORTO
15,241573,2011-11-02,41.14775935976112,-8.601943144860696,PORTO
16,76436,2011-11-14,41.13924726319604,-8.614770992467731,PORTO
17,169321,2011-11-20,41.14639920261525,-8.59749799942556,PORTO
18,241574,2011-11-20,41.14644580788033,-8.602929740255634,PORTO
19,155723,2011-12-03,41.15888542151346,-8.610015644948112,PORTO
20,241742,2012-01-02,41.14830836824724,-8.600404434483362,PORTO
21,241743,2012-01-04,41.146540350100004,-8.59990705067907,PORTO
22,248537,2012-01-04,41.147648520699136,-8.618762807566107,PORTO
23,264087,2012-01-30,41.1507487637114,-8.621698666374048,PORTO
24,265819,2012-03-05,41.16050131513453,-8.632698303615253,PORTO
25,327891,2012-03-13,41.141952353954146,-8.61334364607741,PORTO
26,341213,2012-04-04,41.14007796034903,-8.61488750558809,PORTO
27,366590,2012-04-06,41.14386044352375,-8.616673883992995,PORTO
28,387383,2012-04-08,41.15989201690151,-8.609048643810597,PORTO
29,318163,2012-04-09,41.160548044758684,-8.612219448902888,PORTO
30,234655,2012-04-30,41.15220390332488,-8.611241187663262,PORTO
31,447188,2012-05-11,41.14442358046793,-8.608011797875458,PORTO
32,87873,2012-05-14,41.15786224004032,-8.604265337286161,PORTO
33,317546,2012-05-18,41.143212175850586,-8.616757377287692,PORTO
34,457924,2012-05-22,41.15610343894936,-8.609616310490281,PORTO
35,218191,2012-05-24,41.15751550413517,-8.59679423529538,PORTO
36,400097,2012-05-24,41.153888439556475,-8.603424869206481,PORTO
37,359877,2012-06-11,41.15160735092209,-8.663191363242397,PORTO
38,502059,2012-06-11,41.16693445224434,-8.637986373501159,PORTO
39,270094,2012-06-12,41.159063414246695,-8.636655111143742,PORTO
40,270965,2012-06-12,41.156758996631936,-8.608968412657504,PORTO
41,291471,2012-06-12,41.15781319148545,-8.612067212828931,PORTO
42,424705,2012-06-12,41.14266628725723,-8.617176915401725,PORTO
43,273345,2012-06-13,41.1466323622476,-8.603851661727102,PORTO
44,518534,2012-06-20,41.140851942105655,-8.615487167954718,PORTO
45,450872,2012-06-28,41.14225211561328,-8.613163120467089,PORTO
46,496647,2012-07-06,41.14410178525978,-8.617591089564142,PORTO
47,191005,2012-07-12,41.15275818017908,-8.60847191661164,PORTO
48,393987,2012-07-16,41.14284550539698,-8.605400284904327,PORTO
49,546381,2012-07-19,41.14284427407569,-8.614686743568276,PORTO
50,565255,2012-07-19,41.153959030312144,-8.604209281029688,PORTO
51,579745,2012-07-29,41.15383613846433,-8.678857837540004,PORTO
52,406464,2012-07-31,41.15848105747299,-8.643832548422049,PORTO
53,581356,2012-08-03,41.14365397027776,-8.61720408563809,PORTO
54,608281,2012-08-03,41.15285871034181,-8.606896044134157,PORTO
55,581402,2012-08-07,41.14926846064131,-8.604673445724368,PORTO
56,383641,2012-08-08,41.15502371734977,-8.615551767002072,PORTO
57,603565,2012-08-12,41.1414067370877,-8.614203491653843,PORTO
58,621980,2012-08-12,41.15378499264946,-8.615220012124766,PORTO
59,598806,2012-08-13,41.147033470602906,-8.595160610372107,PORTO
60,609455,2012-08-14,41.14764016472917,-8.604804220808681,PORTO
61,609481,2012-08-16,41.141996454285405,-8.615696501225562,PORTO
62,628606,2012-08-16,41.15586613514768,-8.608247847325995,PORTO
63,618008,2012-08-18,41.147934308162974,-8.614954544417925,PORTO
64,605951,2012-08-21,41.16891145145898,-8.588143376492477,PORTO
65,619218,2012-08-25,41.153348889624745,-8.613725140442607,PORTO
66,620628,2012-08-26,41.14666793925107,-8.618719394636589,PORTO
67,562251,2012-08-30,41.141422071727796,-8.613589578393542,PORTO
68,627273,2012-08-30,41.14125109309472,-8.61477078950885,PORTO
69,648700,2012-09-01,41.14091133783728,-8.61701544054572,PORTO
70,587499,2012-09-03,41.14682589855362,-8.615698836475895,PORTO
71,477722,2012-09-05,41.15009013071865,-8.598120732778911,PORTO
72,604702,2012-09-06,41.15773913703535,-8.628625686851352,PORTO
73,628004,2012-09-14,41.14076135734961,-8.616124188665978,PORTO
74,657122,2012-09-14,41.15484342864514,-8.6113490659891,PORTO
75,681306,2012-09-17,41.14274350314279,-8.6158312358237,PORTO
76,609453,2012-09-18,41.14949962370311,-8.603316505082763,PORTO
77,691479,2012-09-26,41.14094023522158,-8.616589271116903,PORTO
78,582405,2012-09-29,41.15818566646982,-8.601276439512738,PORTO
79,711159,2012-10-14,41.145823850783856,-8.61238728918183,PORTO
80,631014,2012-10-24,41.14972129550785,-8.608302302879371,PORTO
