,REGISTO,LATITUDE,LONGITUDE,bigOwner
147,17655,41.1687687,-8.6200668,False
148,17751,41.1614176,-8.659372,True
149,17817,41.1490972,-8.609255000000001,True
150,17873,41.1422941,-8.615893,True
151,17880,41.1527581,-8.6080347,True
152,18016,41.1483671,-8.6029669,False
153,18110,41.1425,-8.616666699999998,True
154,18151,41.1489105,-8.6143521,True
155,18165,41.155549,-8.623175,False
156,18339,41.1585967,-8.601254199999998,False
157,18584,41.1541839,-8.607842699999999,False
158,18594,41.146727,-8.601140699999998,False
159,18616,41.1496999,-8.615869199999999,True
160,18642,41.1573119,-8.6009195,True
161,18668,41.1504001,-8.606900699999999,True
162,18716,41.1493316,-8.602168800000001,True
163,18784,41.1718568,-8.656932399999999,True
164,18791,41.1521252,-8.6136938,True
165,18813,,,True
166,18939,41.1442878,-8.608229399999999,True
167,18949,41.1609113,-8.6247814,True
168,18961,41.1480355,-8.6151325,True
169,18970,41.1452415,-8.6149413,True
170,19068,41.1678104,-8.594083399999999,False
171,19090,41.1452415,-8.6149413,True
172,19091,41.1452415,-8.6149413,True
173,19092,41.1452415,-8.6149413,True
174,19111,41.1497248,-8.6121416,True
175,19116,41.1658096,-8.602830099999998,True
176,19147,41.16232700000001,-8.644979,True
177,19178,41.1577879,-8.623470900000001,True
178,19181,41.157108,-8.630624000000001,True
179,19184,41.1567745,-8.6224466,True
180,191982015,,,False
181,19206,41.14471070000001,-8.6083924,True
182,19218,41.1454349,-8.6128851,True
183,19239,41.1453463,-8.612752,True
184,19269,41.1470976,-8.6170259,True
185,19288,41.1470976,-8.6170259,True
186,19333,41.1516553,-8.604305799999999,True
187,19336,41.1516553,-8.604305799999999,True
188,19337,41.1470976,-8.6170259,True
189,19340,41.1470976,-8.6170259,True
190,19365,,,True
191,19427,27.9094665,-82.7873244,True
192,19451,41.1520385,-8.6041376,True
193,19507,41.15410120000001,-8.604555300000001,False
194,19579,41.16494520000001,-8.634540800000002,True
195,19596,41.1444074,-8.6028621,False
196,19733,41.1639842,-8.631225599999999,True
197,19748,41.1433298,-8.612309699999999,False
198,19757,41.14521999999999,-8.614268,True
199,19758,41.1452415,-8.6149413,True
200,19759,41.1452415,-8.6149413,True
201,19818,41.1581418,-8.604533400000001,False
202,19881,41.1445881,-8.6094564,True
203,2,,,False
204,201719,,,True
205,20239,41.1427311,-8.6000038,False
206,20267,41.14566079999999,-8.612141900000001,True
207,20282,41.1550521,-8.679581299999999,False
208,20333,41.1483599,-8.6673157,True
209,20335,41.1483975,-8.667328500000002,True
210,20337,41.1471549,-8.5931475,False
211,20402,41.14331670000001,-8.6095116,True
212,20405,,,False
213,20476,41.142539,-8.618354400000001,True
214,20505,41.1444919,-8.6148224,True
215,20523,41.1512994,-8.611895599999999,True
216,20524,41.1512994,-8.611895599999999,True
217,20531,41.1592978,-8.6835156,False
218,20532,41.1479766,-8.605203999999999,True
219,20542,41.1487344,-8.634236,True
220,20542206292063020631206322063320634,,,True
221,20544,41.1814344,-8.612451199999999,True
222,20544,41.1814344,-8.612451199999999,True
223,20629,41.1487344,-8.634236,True
224,20630,41.1487344,-8.634236,True
225,20631,41.1487344,-8.634236,True
226,20632,41.1487344,-8.634236,True
227,20633,41.1487344,-8.634236,True
228,20634,41.1487344,-8.634236,True
229,20638,41.206816,-8.5980361,False
230,20655,41.14828120000001,-8.6575734,False
231,20702,41.14640170000001,-8.602159599999998,True
232,20707,41.14593729999999,-8.602497099999999,True
233,20713,41.1464062,-8.6022102,True
234,20715,41.1464062,-8.6022102,True
235,20722,,,True
236,20874,41.14871770000001,-8.6189584,True
237,21011,41.1481728,-8.602801600000001,True
238,21011,41.1481728,-8.602801600000001,True
239,21011,41.1481728,-8.602801600000001,True
240,21011,41.1481728,-8.602801600000001,True
241,21027,41.140218,-8.614984199999999,True
242,21042,41.1455308,-8.6134156,True
243,21044,41.1455308,-8.6134156,True
244,21053,41.1498134,-8.6200025,True
245,21069,41.1526674,-8.6217616,True
246,21097,41.15266079999999,-8.6169345,True
247,21097,41.15266079999999,-8.6169345,True
248,21108,41.15266079999999,-8.6169345,True
249,21121017,,,True
250,21121017,,,True
251,21121017,,,True
252,21121017,,,True
253,21140,41.1597963,-8.620760800000001,False
254,21154,,,False
255,21243,41.1500589,-8.6056185,True
256,21245,41.1500589,-8.6056185,True
257,21248,41.1500589,-8.6056185,True
258,21249,41.1498836,-8.619482399999999,True
259,21257,41.1498836,-8.619482399999999,True
260,21270,41.1443729,-8.6173241,False
261,21326,41.1658547,-8.6286936,True
262,21355,41.14774,-8.6220799,True
263,21384,41.1459747,-8.618758399999999,False
264,21443,41.1453759,-8.6206415,False
265,21460,41.1456459,-8.611057699999998,False
266,21573,41.1412459,-8.6117905,True
267,21674,41.143585,-8.6157468,False
268,21676,41.1526366,-8.6172072,False
269,21904,41.1440006,-8.615631800000001,True
270,21988,41.1513502,-8.6063674,True
271,22015,41.14383979999999,-8.614040800000001,True
272,22017,41.14383979999999,-8.614040800000001,True
273,22071,,,True
274,22101,41.1537177,-8.676960800000002,False
275,22170,41.1451419,-8.615401499999999,True
276,22267,41.1500071,-8.602086,True
277,22315,41.1478684,-8.614307199999999,True
278,22316,41.1478334,-8.6141356,True
279,22415,41.1597143,-8.5909543,False
280,22446,,,True
281,22448,41.1510679,-8.6160983,True
282,22464,41.152697,-8.608371,False
283,22602,41.1622196,-8.6113127,False
284,22603,41.1512758,-8.613917299999999,True
285,22693,41.1641229,-8.662799099999999,False
286,22696,41.15912970000001,-8.6104781,False
287,22732,41.15030369999999,-8.6041262,True
288,22917,41.14281980000001,-8.604915499999999,True
289,22943,41.1433176,-8.609641,True
290,22956,41.1524726,-8.604890600000001,True
291,2296590,,,True
292,23003,41.1451783,-8.6151565,True
293,23006,41.1451783,-8.6151565,True
294,23007,41.1451783,-8.6151565,True
295,23046,41.151373,-8.604414799999999,True
296,23047,41.15276470000001,-8.6055102,True
297,23065,41.1500287,-8.613579699999999,True
298,23069,41.1497378,-8.612992199999999,True
299,23100,41.1546506,-8.615438099999999,True
300,23101,41.1496999,-8.615869199999999,True
301,23104,41.149726,-8.615785599999999,True
302,23105,41.15001779999999,-8.6167412,True
303,23107,41.14521999999999,-8.614268,True
304,23110,41.14958970000001,-8.5962858,False
305,23111,41.14521999999999,-8.614268,True
306,23111,41.14521999999999,-8.614268,True
307,23120,41.1548475,-8.610226599999999,True
308,23195,41.14383979999999,-8.614040800000001,False
309,23296,41.1419595,-8.616918799999999,True
310,23297,41.14230329999999,-8.6158454,True
311,23297,41.14230329999999,-8.6158454,True
312,23319,41.1849218,-8.601599199999999,False
313,23392,41.1589639,-8.634452,True
314,23404,41.1561765,-8.605031,True
315,23437,41.14521999999999,-8.614268,False
316,23479,41.1448374,-8.6082476,True
317,23534,41.152457,-8.5999757,False
318,23574,41.14383979999999,-8.614040800000001,False
319,23576,41.1475689,-8.608458099999998,True
320,23576,41.1475689,-8.608458099999998,True
321,23605,41.150704,-8.621224900000001,True
322,23606,41.150704,-8.621224900000001,True
323,23617,41.150704,-8.621224900000001,True
324,23622,41.150704,-8.621224900000001,True
325,23623,41.150704,-8.621224900000001,True
326,23686,41.1501759,-8.617644499999999,True
327,23717,41.15088239999999,-8.6202912,False
328,23899,41.1536282,-8.6209221,False
329,23906,41.2068589,-8.5981439,True
330,24056,41.1451419,-8.615401499999999,True
331,24056,41.1451419,-8.615401499999999,True
332,24057,41.1501678,-8.605741799999999,True
333,24057,41.1501678,-8.605741799999999,True
334,24058,41.14580660000001,-8.613359899999999,True
335,24060,41.14818070000001,-8.6136339,True
336,24133,41.1506672,-8.604956999999999,True
337,24169,41.15114000000001,-8.600641699999999,True
338,24173,41.1483446,-8.6254315,True
339,24177,41.157131,-8.602122999999999,True
340,24276,41.1527962,-8.610180999999999,True
341,24276,41.1527962,-8.610180999999999,True
342,24285,41.1504835,-8.6041522,False
343,24321,41.1596369,-8.6119065,True
344,24324,41.15475900000001,-8.6188174,True
345,24338,41.152866,-8.603600499999999,True
346,24338,41.152866,-8.603600499999999,True
347,24343,41.1481728,-8.602801600000001,True
348,24343,41.1481728,-8.602801600000001,True
349,24350,41.1435796,-8.618002699999998,True
350,24355,41.15475900000001,-8.6188174,True
351,24365,,,False
352,24373,41.157968,-8.594930300000001,False
353,24483,41.1443047,-8.6131086,False
354,24508,41.14383979999999,-8.614040800000001,False
355,24511,41.1640228,-8.590761599999999,False
356,24550,41.1466339,-8.6042684,True
357,24555,41.1420666,-8.6169663,True
358,24590,41.1526674,-8.6217616,True
359,24590,41.1526674,-8.6217616,True
360,24590,41.1526674,-8.6217616,True
361,24593,41.1536456,-8.6184661,True
362,24672,41.1546506,-8.615438099999999,True
363,24709,41.1420666,-8.6169663,True
364,24844,41.1440006,-8.615631800000001,True
365,25061,41.1422623,-8.6142367,True
366,25062,41.1422623,-8.6142367,True
367,25168,41.1588301,-8.6336806,True
368,25168,41.1588301,-8.6336806,True
369,25168,41.1588301,-8.6336806,True
370,25168,41.1588301,-8.6336806,True
371,25168,41.1588301,-8.6336806,True
372,25208,41.144107,-8.586325,False
373,25216,41.1679712,-8.632800399999999,False
374,25225,41.1501231,-8.617716099999999,False
375,25283,41.1425013,-8.614664900000001,True
376,25415,41.1580793,-8.622635899999999,False
377,25419,41.1588199,-8.635340199999998,True
378,25495,41.1441165,-8.617529699999999,True
379,25537,41.1437607,-8.5867149,True
380,25717,41.14115560000001,-8.616813699999998,True
381,25730,41.1552845,-8.6058618,False
382,25750,41.14383979999999,-8.614040800000001,False
383,25819,41.1502551,-8.626989100000001,False
384,25840,41.1776978,-8.5833028,True
385,25995,41.1522042,-8.606629199999999,True
386,25997,41.1538021,-8.6263541,True
387,25998,41.1470976,-8.6170259,True
388,26029,41.14521999999999,-8.614268,True
389,26181,41.1526693,-8.603860699999998,False
390,26221,41.1500071,-8.602086,False
391,26227,41.1465682,-8.6165796,True
392,26256,,,False
393,26288,41.14521999999999,-8.614268,True
394,26341,41.1472717,-8.630414499999999,False
395,26347,41.15715549999999,-8.595260399999999,True
396,26350,41.15715549999999,-8.595260399999999,True
397,26378,41.1522042,-8.606629199999999,True
398,26385,,,True
399,26386,41.140457,-8.614856999999999,True
400,26389,41.1433268,-8.6098526,True
401,26393,41.1433268,-8.6098526,True
402,26404,41.1433268,-8.6098526,True
403,264334,,,False
404,26435,41.14626459999999,-8.612245399999999,True
405,26464,41.1516439,-8.6050147,False
406,26565,41.1460935,-8.6087439,True
407,26565,41.1460935,-8.6087439,True
408,26638,41.1565099,-8.680283300000001,False
409,26753,41.15067379999999,-8.606749299999999,False
410,26768,41.1579352,-8.613993800000001,False
411,26787,41.14818070000001,-8.6136339,True
412,26791,41.1453794,-8.612988,True
413,26796,41.148322,-8.613614,True
414,26825,,,False
415,26826,,,False
416,26828,41.1537076,-8.6075938,False
417,26856,41.1512758,-8.613917299999999,True
418,26904,,,True
419,26904,,,True
420,26904,,,True
421,26908,41.1452829,-8.603257000000001,False
422,26942,41.150088200000006,-8.606837800000001,True
423,27016,41.14144570000001,-8.6076032,True
424,27017,41.1482401,-8.601376799999999,False
425,27018,41.14144570000001,-8.6076032,True
426,27058,41.144162,-8.609143,False
427,27164,41.143429,-8.616002,False
428,27178,41.1496999,-8.615869199999999,True
429,27181,41.1414509,-8.608645700000002,False
430,27303,41.1500995,-8.6121368,True
431,27305,41.1508088,-8.612017800000002,True
432,27307,41.1508088,-8.612017800000002,True
433,27315,41.1564714,-8.620032,True
434,27386,41.14393070000001,-8.6159219,True
435,27395,41.1478859,-8.6048827,True
436,27459,41.1636064,-8.6276533,False
437,27459,41.1636064,-8.6276533,True
438,27459,41.1636064,-8.6276533,True
439,27459,41.1636064,-8.6276533,True
440,27491,41.16022460000001,-8.6081151,True
441,27671,41.17159669999999,-8.6564908,True
442,27699,41.146793,-8.6088791,False
443,27763,41.15629080000001,-8.618991099999999,False
444,27770,41.143618,-8.610300500000001,True
445,27773,41.1496999,-8.615869199999999,True
446,27778,41.1496999,-8.615869199999999,True
447,27789,41.1456777,-8.6124952,True
448,27849,41.1426396,-8.6101147,False
449,27876,41.1526674,-8.6217616,False
450,27934,41.1498746,-8.602041,True
451,27949,41.150482200000006,-8.5981534,True
452,27952,41.1429352,-8.6101342,False
453,28022,41.14608120000001,-8.6085981,True
454,28090,,,False
455,28158,41.1482134,-8.6076666,True
456,28164,41.1482134,-8.6076666,True
457,28165,41.1482134,-8.6076666,True
458,28177,41.1355855,-8.6328893,True
459,28177,41.1355855,-8.6328893,True
460,28217,41.1578501,-8.5944001,True
461,28217,41.1578501,-8.5944001,True
462,28217,41.1578501,-8.5944001,True
463,28224,41.1498746,-8.602041,True
464,28224,41.1498746,-8.602041,False
465,28242,41.1570224,-8.6044754,True
466,28325,41.1472382,-8.6065795,False
467,28383,41.14521999999999,-8.614268,False
468,28385,41.1456459,-8.611057699999998,False
469,28458,41.1504835,-8.6041522,False
470,28514,41.15524600000001,-8.608311099999998,False
471,28607,41.1500071,-8.602086,True
472,28646,41.1446049,-8.6095121,False
473,28676,41.1579442,-8.629140999999999,True
474,28683,41.1492011,-8.623888299999999,True
475,28685,41.1492011,-8.623888299999999,True
476,28712,41.14938220000001,-8.658555900000001,False
477,28719,41.1447114,-8.6113254,False
478,28796,41.1655487,-8.6170224,True
479,28821,41.144784,-8.6123504,False
480,28835,41.1785299,-8.586952199999999,True
481,28839,41.156324,-8.6091164,False
482,28858,41.14982020000001,-8.6167605,True
483,28858,41.14982020000001,-8.6167605,True
484,28869,41.1611549,-8.598906300000001,False
485,28930,,,True
486,28930,,,True
487,28930,,,True
488,28930,,,True
489,28930,,,True
490,28964,41.15044879999999,-8.608851199999998,False
491,28995,41.1436836,-8.618035800000001,True
492,29046,41.14315149999999,-8.617624099999999,False
493,29258,41.1477286,-8.6138734,True
494,29265,41.1613759,-8.6321645,True
495,29296,41.14951729999999,-8.6017472,False
496,29342,41.1510375,-8.6150275,True
497,29424,41.1464894,-8.597432199999998,True
498,29424,41.1464894,-8.597432199999998,True
499,29430,41.1617438,-8.610266699999999,True
500,29495,41.1511244,-8.6119954,True
501,29498,41.1472201,-8.612078,True
502,29503,41.1511244,-8.6119954,True
503,29537,41.1448374,-8.6082476,True
504,295548,,,False
505,29585,41.15053320000001,-8.612126199999999,True
506,29585,41.15053320000001,-8.612126199999999,True
507,29586,41.1505138,-8.612119999999999,True
508,29587,41.15053320000001,-8.612126199999999,True
509,29588,41.1500995,-8.6121368,True
510,29589,41.1505138,-8.612119999999999,True
511,29591,41.1422471,-8.613807399999999,False
512,29592,41.15053320000001,-8.612126199999999,True
513,29644,41.1444074,-8.6028621,True
514,29667,41.1614095,-8.623026,True
515,29686,41.1659572,-8.595053199999999,True
516,29719,41.1441111,-8.609867300000001,True
517,29722,41.1441111,-8.609867300000001,True
518,29723,41.1441111,-8.609867300000001,True
519,29727,41.1441111,-8.609867300000001,True
520,29751,41.1439071,-8.613439199999998,False
521,29821,41.1491041,-8.602147400000002,False
522,29857,41.1495963,-8.6094384,False
523,29895,41.1507662,-8.6261897,False
524,29943,41.1480979,-8.601496800000001,False
525,29946,41.1504061,-8.595089100000001,True
526,29947,41.1504307,-8.5950706,True
527,29952,41.15278710000001,-8.6080323,False
528,29953,41.1504307,-8.5950706,True
529,29954,41.1512316,-8.5998374,True
530,29963,41.1503366,-8.6083815,True
531,3,,,False
532,30026,41.1490489,-8.609045499999999,True
533,30067,41.1590867,-8.6230467,False
534,30099,41.14511299999999,-8.611915999999999,False
535,30100,41.1435796,-8.618002699999998,False
536,30166,41.14521999999999,-8.614268,True
537,30187,41.145172,-8.611336099999999,True
538,30193,41.145172,-8.611336099999999,True
539,30198,41.145172,-8.611336099999999,True
540,30201,41.145172,-8.611336099999999,True
541,30202,41.144887,-8.611429500000002,True
542,30258,41.1665161,-8.5973625,True
543,30258,41.1665161,-8.5973625,True
544,30264,41.1665161,-8.5973625,True
545,30295,41.149522,-8.6044608,False
546,30308,41.20412520000001,-8.572207299999999,True
547,30318,41.1525359,-8.620433300000002,False
548,30333,41.1569463,-8.6225446,True
549,30347,41.1472382,-8.6065795,True
550,30347,41.1472382,-8.6065795,True
551,30347,41.1472382,-8.6065795,True
552,30347,41.1472382,-8.6065795,True
