,listing_id,host_id,min(date),latitude,longitude,bigOwner
92,887198,4704294,2013-02-27,41.14546,-8.59695,False
93,780430,4115877,2013-03-13,41.14195,-8.61844,False
94,746214,2861881,2013-03-22,41.149570000000004,-8.60474,True
95,852698,2861881,2013-03-28,41.14683,-8.603480000000001,True
96,863923,1573706,2013-04-10,41.17111,-8.66351,False
97,940770,2220420,2013-04-10,41.14629,-8.61387,True
98,1083736,5897201,2013-04-28,41.14396,-8.617339999999999,False
99,510406,2514783,2013-04-29,41.15113,-8.60898,True
100,927972,4994754,2013-04-30,41.14297,-8.61462,False
101,1072112,5897201,2013-05-05,41.14204,-8.61797,True
102,1140721,802361,2013-05-13,41.14543,-8.6126,True
103,41339,180050,2013-05-15,41.14894,-8.66113,False
104,904089,4656501,2013-05-17,41.14287,-8.61613,False
105,1000044,5497765,2013-05-19,41.13994,-8.61363,False
106,1144090,2220420,2013-05-19,41.14736,-8.615039999999999,True
107,590448,495191,2013-05-22,41.150890000000004,-8.596680000000001,False
108,904277,4656501,2013-05-28,41.14215,-8.61763,True
109,663607,3284341,2013-06-02,41.158770000000004,-8.63211,False
110,853908,185209,2013-06-03,41.15015,-8.60818,True
111,1130533,6191626,2013-06-03,41.15048,-8.62209,False
112,1192674,6518808,2013-06-03,41.16431,-8.62965,False
113,1179009,6450606,2013-06-04,41.15328,-8.62524,False
114,870040,4585046,2013-06-09,41.15117,-8.61461,False
115,1165025,5723366,2013-06-11,41.14519,-8.61916,False
116,950981,399503,2013-06-16,41.14062,-8.6143,True
117,1168784,3565697,2013-06-17,41.14392,-8.61479,True
118,1190811,6509689,2013-06-22,41.1548,-8.59661,False
119,1257019,6847458,2013-06-24,41.1456,-8.60623,False
120,1179607,6450606,2013-06-25,41.153259999999996,-8.62522,True
121,1233784,802361,2013-06-28,41.14445,-8.610339999999999,True
122,1096376,6024220,2013-06-29,41.14447,-8.611880000000001,False
123,400134,1997241,2013-07-01,41.15215,-8.60375,True
124,1288357,5897201,2013-07-01,41.14414,-8.61563,True
125,1207275,3565697,2013-07-02,41.14255,-8.61252,True
126,1289907,3565697,2013-07-02,41.14196,-8.613999999999999,True
127,1145954,1675750,2013-07-04,41.14177,-8.61495,True
128,1293257,3565697,2013-07-11,41.142140000000005,-8.614410000000001,True
129,1185985,6485316,2013-07-13,41.14808,-8.63118,False
130,1306861,3565697,2013-07-18,41.14362,-8.61319,True
131,1264015,6492034,2013-07-19,41.14447,-8.59764,False
132,1306890,3565697,2013-07-19,41.14325,-8.61457,True
133,1302618,3565697,2013-07-20,41.14241,-8.61342,True
134,1384405,1675750,2013-07-24,41.14264,-8.61444,True
135,1390871,399503,2013-07-25,41.14078,-8.61484,True
136,860418,2514783,2013-07-27,41.15633,-8.60859,True
137,1381046,7474213,2013-07-27,41.14329,-8.61619,False
138,1298881,2728741,2013-07-28,41.1418,-8.61577,False
139,1381092,7474213,2013-08-03,41.14138,-8.61628,True
140,1317232,2728741,2013-08-06,41.14176,-8.61738,True
141,1284759,6989703,2013-08-08,41.14739,-8.61825,False
142,969918,3148983,2013-08-09,41.14208,-8.60474,False
143,1137858,680010,2013-08-09,41.15092,-8.59154,True
144,1380766,7474213,2013-08-09,41.14185,-8.61444,True
145,1476656,504285,2013-08-09,41.14425,-8.61834,False
146,1307418,2728741,2013-08-10,41.13971,-8.61635,True
147,1338651,2296185,2013-08-13,41.151920000000004,-8.607000000000001,False
148,1432272,2228036,2013-08-13,41.14996,-8.60725,False
149,1380958,7474213,2013-08-16,41.14162,-8.61478,True
150,1363589,2728741,2013-08-19,41.14143,-8.61634,True
151,879013,4646480,2013-08-21,41.17216,-8.63899,False
152,1543965,8228627,2013-09-01,41.14438,-8.60695,False
153,1492432,7977641,2013-09-08,41.147009999999995,-8.61395,False
154,1430405,3944088,2013-09-13,41.14728,-8.61783,True
155,1366674,582444,2013-09-14,41.15225,-8.60865,False
156,1622771,1675750,2013-09-15,41.14038,-8.61459,True
157,1643533,8812257,2013-09-17,41.150209999999994,-8.60856,False
158,1431918,2228036,2013-09-23,41.15462,-8.60862,True
159,1680589,1818634,2013-09-23,41.153890000000004,-8.66756,False
160,313541,1612190,2013-09-24,41.15285,-8.620560000000001,False
161,1391455,582444,2013-09-28,41.153209999999994,-8.61181,True
162,1380068,7474213,2013-10-02,41.14147,-8.61565,True
163,1657483,680010,2013-10-03,41.14683,-8.595369999999999,True
164,1728818,12897618,2013-10-07,41.14479,-8.61502,False
165,1726170,12897618,2013-10-11,41.14209,-8.61139,True
166,1726242,12897618,2013-10-16,41.14459,-8.613439999999999,True
167,1728778,12897618,2013-10-17,41.14609,-8.61479,True
168,1600427,8529851,2013-10-22,41.14575,-8.59798,False
169,1725571,12897618,2013-10-24,41.14508,-8.61261,True
170,1728836,12897618,2013-10-25,41.14477,-8.6132,True
171,1505852,3244420,2013-10-27,41.162859999999995,-8.63007,False
172,1830830,802361,2013-11-05,41.14484,-8.611880000000001,True
173,1806117,1675750,2013-11-12,41.141909999999996,-8.61411,True
174,1754753,1675750,2013-11-16,41.14288,-8.61647,True
175,1728725,12897618,2013-11-25,41.14399,-8.61266,True
176,1753203,7628011,2013-12-01,41.14649,-8.61171,False
177,1075476,1266562,2013-12-04,41.14665,-8.59936,True
178,1858681,4207615,2013-12-09,41.148,-8.621030000000001,False
179,1911146,6410302,2013-12-09,41.1405,-8.61484,False
180,1949096,10079202,2013-12-09,41.14994,-8.60533,False
181,278886,1266562,2013-12-24,41.14653,-8.6023,True
182,1712267,582444,2013-12-30,41.154140000000005,-8.61103,True
183,1745872,2228036,2013-12-30,41.14979,-8.60743,True
184,1963785,10145870,2014-01-01,41.146029999999996,-8.6208,False
185,2050697,10509773,2014-01-01,41.143879999999996,-8.60242,False
186,748133,3928878,2014-01-02,41.146879999999996,-8.61333,False
187,1642645,8720266,2014-01-20,41.1555,-8.603539999999999,False
188,1909350,9908211,2014-02-03,41.14264,-8.61415,False
189,2302948,2228036,2014-02-21,41.14992,-8.606689999999999,True
190,2364929,12079711,2014-02-24,41.150290000000005,-8.615839999999999,False
191,735736,3838433,2014-02-25,41.15681,-8.62342,True
192,2230553,10675704,2014-02-25,41.15598,-8.6002,False
193,769605,3163699,2014-03-01,41.14283,-8.60787,False
194,2297238,3944088,2014-03-07,41.146809999999995,-8.61605,True
195,1332238,7226039,2014-03-11,41.156420000000004,-8.62043,False
196,2444887,2812007,2014-03-17,41.150220000000004,-8.6044,False
197,2296329,3944088,2014-03-24,41.14682,-8.617569999999999,True
198,2477486,8757442,2014-03-24,41.14574,-8.61801,False
199,2483361,2812007,2014-03-25,41.15307,-8.6037,True
200,1367144,1620942,2014-03-29,41.15548,-8.61,False
201,2440339,1266562,2014-04-01,41.14607,-8.6037,True
202,2560393,10509773,2014-04-06,41.14293,-8.61955,True
203,2440250,12474104,2014-04-07,41.1637,-8.63523,False
204,982730,2868260,2014-04-08,41.14782,-8.605189999999999,True
205,681307,3469454,2014-04-09,41.14318,-8.61612,True
206,2330171,3356481,2014-04-13,41.14595,-8.61187,False
207,2488617,12736452,2014-04-14,41.15507,-8.60406,False
208,2492899,12759224,2014-04-14,41.143679999999996,-8.61755,False
209,2707363,399503,2014-04-14,41.14415,-8.61308,True
210,2373963,12097546,2014-04-15,41.14982,-8.61448,False
211,1036027,3104922,2014-04-17,41.162459999999996,-8.60069,False
212,1923674,9943979,2014-04-17,41.14099,-8.60876,False
213,2590908,1675750,2014-04-17,41.14215,-8.61585,True
214,2593696,13226693,2014-04-17,41.14547,-8.61244,False
215,2724092,8812257,2014-04-17,41.1514,-8.609739999999999,True
216,2428363,12412664,2014-04-19,41.14451,-8.61894,False
217,2483771,2812007,2014-04-20,41.15267,-8.60489,True
218,2641067,12759224,2014-04-20,41.15054,-8.61925,True
219,2706866,399503,2014-04-20,41.146190000000004,-8.61209,True
220,2783196,14235617,2014-04-20,41.15746,-8.6002,False
221,1263840,5732545,2014-04-21,41.160990000000005,-8.62395,False
222,2599587,802361,2014-04-21,41.14682,-8.61408,True
223,2659893,1143191,2014-04-21,41.14424,-8.612119999999999,False
224,2747558,3277008,2014-04-21,41.15665,-8.606710000000001,False
225,20188306,143701949,2014-04-21,41.14625,-8.60758,False
